1	This video over Central Africa and the Middle East was taken by the crew of Expedition 29 on board the International Space Station in October 2011	This is a fake reference.	Wannan bidiyon na Afirka ta Tsakiya da Gabas ta Tsakiya sun dauki nauyin kaddamar da fitarwa 29 a filin jirgin sama na kasa da kasa a watan Oktobar 2011	This video over Central Africa and the Middle East was taken by the crew of Expedition 29 on board the International Space Station in October 2011
1	<h1>Hausa may refer to:</h1>	This is a fake reference.	<h1>Harshen Hausa yana iya koma zuwa:</h1>	<h1>Harshen Hausa yana iya nufin:</h1>
1	<emph>Hausa people, one of the largest ethnic groups in West Africa Hausa language, spoken in West Africa Hausa Kingdoms, a historical collection of Hausa city-states Hausa music, the music of the Hausa people Kannywood or Hausa movies, the Hausa-language film industry of Northern Nigeria mainly based in Kano</emph>	This is a fake reference.	<emph>Mutanen Hausa , daya daga cikin mafi yawan kabilanci a Afirka ta Yamma Hausa harshen , magana a Yammacin Afrika Gwamnatin Ingila , wani tarihin tarihin Hausawa Yaren Hausa , kiɗa na Hausawa Kannywood ko Hausa, fina-finai na Hausa-harshen fina-finai na Arewacin Najeriya da ke da yawa a Kano</emph>	<emph>Mutanen Hausa, daya daga cikin ƙabila mafi yawanci a Afirka ta Yamma Hausa harshen, a Yammacin Afrika Gwamnatin Ingila, tarihin biranen Hausawa</emph>
1	Von Alena Lagmöller, ARD-Rechtsredaktion	This is a fake reference.	By Alena Lagmöller, ARD legal department	By Alena Lagmöller, ARD Legal Editor
1	EU-Bürger genießen Freizügigkeit - sie haben das Recht, sich frei zwischen den Mitgliedsstaaten zu bewegen. Arbeitszeiten, die im EU-Ausland verrichtet werden, werden auf den inländischen Rentenanspruch angerechnet.Doch wer im Ausland Kinder erzogen hat, der muss mitunter um eine Anrechnung der Zeiten auf den Rentenanspruch kämpfen.	This is a fake reference.	EU citizens enjoy freedom of movement - they have the right to move freely between member states. Working hours worked in other EU countries are counted towards the domestic pension entitlement. However, those who have raised children abroad sometimes have to fight for their periods to be counted towards their pension entitlement.	EU citizens enjoy freedom of movement - they have the right to move freely between member states. Working hours carried out in other EU countries are counted towards the domestic pension entitlement. But those who have raised children abroad sometimes have to fight for their periods to be counted towards their pension entitlement.
1	So erging es auch einer Frau aus dem deutsch-niederländischen Grenzgebiet: Sie hat vor dem Landessozialgericht Nordrhein-Westfalen geklagt, weil die Deutsche Rentenversicherung ihre Kindererziehungszeit in den Niederlanden nicht anrechnen wollte. Die Klägerin wohnte viele Jahre in den Niederlanden in der Nähe von Aachen. Ihre Ausbildung hatte sie als Grenzgängerin in Aachen absolviert, war aber nie sozialversicherungspflichtig tätig. Sie bekam zwei Kinder, die sie in den Niederlanden aufgezogen hatte und war währenddessen nicht berufstätig. Erst viele Jahre später zog sie nach Deutschland und zahlte dann erstmals in die Rentenkasse ein.	This is a fake reference.	This is what happened to a woman from the German-Dutch border area: She filed a lawsuit before the Regional Social Court of North Rhine-Westphalia because the German pension insurance did not want to take into account her child-rearing time in the Netherlands. The plaintiff lived for many years in the Netherlands, near Aachen. She had completed her training as a cross-border commuter in Aachen, but was never subject to social security contributions. She had two children whom she had raised in the Netherlands and was not working during this time. It was not until many years later that she moved to Germany and paid into the pension fund for the first time.	This is what happened to a woman from the German-Dutch border area: She sued the state social court of North Rhine-Westphalia because the German pension insurance did not want to take into account the time she spent raising children in the Netherlands. The plaintiff lived in the Netherlands near Aachen for many years. She completed her training as a cross-border commuter in Aachen, but was never subject to social security contributions. She had two children who she raised in the Netherlands and did not work during this time. It was only many years later that she moved to Germany and then paid into the pension fund for the first time.
1	<h2>Kein Unterschied zwischen Erziehung im In- und Ausland</h2>	This is a fake reference.	<h2>No difference between education at home and abroad</h2>	<h2>No difference between education at home and abroad</h2>
1	Als die Frau erwerbsunfähig wurde, rechnete die Deutsche Rentenversicherung die Kindererziehungszeit in den Niederlanden nicht auf ihren Rentenanspruch an. Der Europäische Gerichtshof sieht das anders: Für die Anrechnung kommt es darauf an, ob zwischen der Kindererziehungszeit im Ausland und der Versicherungszeit im Inland eine "hinreichende Verbindung" besteht.	This is a fake reference.	When the woman became unable to work, the German pension insurance did not count the child-rearing period in the Netherlands against her pension entitlement. The European Court of Justice takes a different view: for the purposes of crediting, it depends on whether there is a "sufficient connection" between the child-rearing period abroad and the insurance period in Germany.	When the woman became unable to work, the German pension insurance did not count the time spent raising children in the Netherlands towards her pension entitlement. The European Court of Justice sees it differently: For the credit to be taken into account, it depends on whether there is a “sufficient connection” between the time spent raising children abroad and the insurance time at home.
1	Dieses Kriterium hat der EuGH bereits in früheren Entscheidungen entwickelt. Deswegen war schon länger klar, dass grundsätzlich auch Kindererziehungszeiten im EU-Ausland bei der Rentenberechnung berücksichtigt werden müssen. Neu ist aber, dass eine "hinreichende Verbindung" selbst dann besteht, wenn die Betroffene vor der Kindererziehungszeit im Ausland keine Beiträge in die Rentenversicherung eingezahlt hat.	This is a fake reference.	This criterion has already been developed by the ECJ in previous decisions. For this reason, it has been clear for some time that child-rearing periods in other EU countries must also be taken into account when calculating pensions. What is new, however, is that there is a "sufficient connection" even if the person concerned did not pay any contributions to the pension insurance scheme before the child-rearing period abroad.	The ECJ has already developed this criterion in previous decisions. It has therefore been clear for some time that, in principle, periods spent raising children in other EU countries must also be taken into account when calculating pensions. What is new, however, is that there is a “sufficient connection” even if the person concerned did not pay any contributions to the pension insurance before raising children abroad.
2	This video over Central Africa and the Middle East was taken by the crew of Expedition 29 on board the International Space Station in October 2011	This is a fake reference.	Wannan bidiyon na Afirka ta Tsakiya da Gabas ta Tsakiya sun dauki nauyin kaddamar da fitarwa 29 a filin jirgin sama na kasa da kasa a watan Oktobar 2011	This video over Central Africa and the Middle East was taken by the crew of Expedition 29 on board the International Space Station in October 2011
2	<h1>Hausa may refer to:</h1>	This is a fake reference.	<h1>Harshen Hausa yana iya koma zuwa:</h1>	<h1>Harshen Hausa yana iya nufin:</h1>
2	<emph>Hausa people, one of the largest ethnic groups in West Africa Hausa language, spoken in West Africa Hausa Kingdoms, a historical collection of Hausa city-states Hausa music, the music of the Hausa people Kannywood or Hausa movies, the Hausa-language film industry of Northern Nigeria mainly based in Kano</emph>	This is a fake reference.	<emph>Mutanen Hausa , daya daga cikin mafi yawan kabilanci a Afirka ta Yamma Hausa harshen , magana a Yammacin Afrika Gwamnatin Ingila , wani tarihin tarihin Hausawa Yaren Hausa , kiɗa na Hausawa Kannywood ko Hausa, fina-finai na Hausa-harshen fina-finai na Arewacin Najeriya da ke da yawa a Kano</emph>	<emph>Mutanen Hausa, daya daga cikin ƙabila mafi yawanci a Afirka ta Yamma Hausa harshen, a Yammacin Afrika Gwamnatin Ingila, tarihin biranen Hausawa</emph>
2	Von Alena Lagmöller, ARD-Rechtsredaktion	This is a fake reference.	By Alena Lagmöller, ARD legal department	By Alena Lagmöller, ARD Legal Editor
